city,state_id,state_name,county_fips,county_name,lat,lng,population,density,timezone
South Creek,WA,Washington,53053,Pierce,46.9994,-122.3921,2500,125,America/Los_Angeles
Roslyn,WA,Washington,53037,Kittitas,47.2507,-121.0989,947,84,America/Los_Angeles
Sprague,WA,Washington,53043,Lincoln,47.3048,-117.9713,441,163,America/Los_Angeles
Gig Harbor,WA,Washington,53053,Pierce,47.3352,-122.5968,9507,622,America/Los_Angeles
Lake Cassidy,WA,Washington,53061,Snohomish,48.0639,-122.092,3591,131,America/Los_Angeles
Tenino,WA,Washington,53067,Thurston,46.8537,-122.8607,1830,491,America/Los_Angeles
Jamestown,WA,Washington,53009,Clallam,48.1229,-123.0911,289,191,America/Los_Angeles
Three Lakes,WA,Washington,53061,Snohomish,47.942,-121.9924,3390,112,America/Los_Angeles
Curlew Lake,WA,Washington,53019,Ferry,48.7311,-118.6663,573,50,America/Los_Angeles
Chain Lake,WA,Washington,53061,Snohomish,47.9038,-121.9861,4280,156,America/Los_Angeles
Pateros,WA,Washington,53047,Okanogan,48.0536,-119.8994,701,536,America/Los_Angeles
Rosburg,WA,Washington,53069,Wahkiakum,46.3076,-123.6344,385,6,America/Los_Angeles
Parkland,WA,Washington,53053,Pierce,47.1417,-122.4376,37019,1653,America/Los_Angeles
Birch Bay,WA,Washington,53073,Whatcom,48.923,-122.7543,8642,208,America/Los_Angeles
Ashford,WA,Washington,53053,Pierce,46.7537,-122.0113,162,30,America/Los_Angeles
Navy Yard City,WA,Washington,53035,Kitsap,47.5508,-122.6655,3154,1978,America/Los_Angeles
Omak,WA,Washington,53047,Okanogan,48.4228,-119.5159,8130,478,America/Los_Angeles
Farmington,WA,Washington,53075,Whitman,47.0887,-117.0464,154,164,America/Los_Angeles
Buckley,WA,Washington,53053,Pierce,47.1615,-122.02,4819,482,America/Los_Angeles
Cathcart,WA,Washington,53061,Snohomish,47.8525,-122.1058,2506,250,America/Los_Angeles
Poulsbo,WA,Washington,53035,Kitsap,47.7417,-122.6408,10670,869,America/Los_Angeles
Anacortes,WA,Washington,53057,Skagit,48.4878,-122.6292,17955,559,America/Los_Angeles
Maplewood,WA,Washington,53053,Pierce,47.3715,-122.5689,5340,248,America/Los_Angeles
Creston,WA,Washington,53043,Lincoln,47.7595,-118.52,226,212,America/Los_Angeles
Rockford,WA,Washington,53063,Spokane,47.4513,-117.1307,477,271,America/Los_Angeles
Wishram,WA,Washington,53039,Klickitat,45.6599,-120.9698,438,131,America/Los_Angeles
Centralia,WA,Washington,53041,Lewis,46.7225,-122.9695,41643,883,America/Los_Angeles
South Hill,WA,Washington,53053,Pierce,47.1203,-122.2848,56379,1185,America/Los_Angeles
Longview Heights,WA,Washington,53015,Cowlitz,46.1796,-122.9577,3678,337,America/Los_Angeles
Erlands Point-Kitsap Lake,WA,Washington,53035,Kitsap,47.5973,-122.7021,2973,655,America/Los_Angeles
Amboy,WA,Washington,53011,Clark,45.9122,-122.4795,2027,78,America/Los_Angeles
St. John,WA,Washington,53075,Whitman,47.0915,-117.5887,561,322,America/Los_Angeles
Dallesport,WA,Washington,53039,Klickitat,45.6316,-121.1749,1739,99,America/Los_Angeles
Ketron Island,WA,Washington,53053,Pierce,47.1569,-122.6343,0,0,America/Los_Angeles
Mesa,WA,Washington,53021,Franklin,46.5737,-119.0013,503,119,America/Los_Angeles
Fife,WA,Washington,53053,Pierce,47.2328,-122.3518,10154,684,America/Los_Angeles
Moses Lake North,WA,Washington,53025,Grant,47.1949,-119.3186,3787,264,America/Los_Angeles
Chewelah,WA,Washington,53065,Stevens,48.2929,-117.7336,2637,341,America/Los_Angeles
Grayland,WA,Washington,53027,Grays Harbor,46.8304,-124.0898,756,42,America/Los_Angeles
Kittitas,WA,Washington,53037,Kittitas,46.9837,-120.4191,1491,729,America/Los_Angeles
Camano,WA,Washington,53029,Island,48.1865,-122.4708,15989,155,America/Los_Angeles
Monroe North,WA,Washington,53061,Snohomish,47.883,-121.9882,1704,282,America/Los_Angeles
North Bonneville,WA,Washington,53059,Skamania,45.6425,-121.9689,999,154,America/Los_Angeles
Klickitat,WA,Washington,53039,Klickitat,45.818,-121.1626,358,147,America/Los_Angeles
Loon Lake,WA,Washington,53065,Stevens,48.0685,-117.6298,784,92,America/Los_Angeles
Newport,WA,Washington,53051,Pend Oreille,48.1788,-117.0545,2635,624,America/Los_Angeles
Mead,WA,Washington,53063,Spokane,47.7795,-117.35,6859,364,America/Los_Angeles
Cashmere,WA,Washington,53007,Chelan,47.5175,-120.4671,4864,1061,America/Los_Angeles
Aberdeen Gardens,WA,Washington,53027,Grays Harbor,47.0587,-123.7791,283,67,America/Los_Angeles
Ocean Shores,WA,Washington,53027,Grays Harbor,46.9685,-124.1521,5553,268,America/Los_Angeles
Basin City,WA,Washington,53021,Franklin,46.5891,-119.1567,1281,155,America/Los_Angeles
Wilkeson,WA,Washington,53053,Pierce,47.1034,-122.0495,507,420,America/Los_Angeles
Meadow Glade,WA,Washington,53011,Clark,45.7524,-122.5614,2895,307,America/Los_Angeles
Arlington Heights,WA,Washington,53061,Snohomish,48.2119,-122.063,2826,129,America/Los_Angeles
Uniontown,WA,Washington,53075,Whitman,46.5391,-117.0861,343,143,America/Los_Angeles
Oakesdale,WA,Washington,53075,Whitman,47.1305,-117.2465,442,164,America/Los_Angeles
West Side Highway,WA,Washington,53015,Cowlitz,46.1841,-122.9178,5902,901,America/Los_Angeles
Conconully,WA,Washington,53047,Okanogan,48.5571,-119.7513,208,300,America/Los_Angeles
Latah,WA,Washington,53063,Spokane,47.2822,-117.1557,187,225,America/Los_Angeles
Elma,WA,Washington,53027,Grays Harbor,47.0055,-123.4112,3092,468,America/Los_Angeles
Tieton,WA,Washington,53077,Yakima,46.7026,-120.756,1294,570,America/Los_Angeles
Southworth,WA,Washington,53035,Kitsap,47.5126,-122.5298,2280,260,America/Los_Angeles
Danville,WA,Washington,53019,Ferry,48.9938,-118.5068,19,41,America/Los_Angeles
Toppenish,WA,Washington,53077,Yakima,46.3807,-120.3125,14441,1627,America/Los_Angeles
River Road,WA,Washington,53009,Clallam,48.0677,-123.1276,952,1055,America/Los_Angeles
Geneva,WA,Washington,53073,Whatcom,48.7461,-122.4064,2632,958,America/Los_Angeles
Yakima,WA,Washington,53077,Yakima,46.5923,-120.5496,133233,1302,America/Los_Angeles
Moxee,WA,Washington,53077,Yakima,46.5638,-120.3968,4032,670,America/Los_Angeles
Edmonds,WA,Washington,53061,Snohomish,47.8114,-122.3533,42209,1829,America/Los_Angeles
Kalama,WA,Washington,53015,Cowlitz,46.0171,-122.8393,3794,297,America/Los_Angeles
Laurier,WA,Washington,53019,Ferry,48.9974,-118.2248,0,0,America/Los_Angeles
Vashon,WA,Washington,53033,King,47.4122,-122.4726,9635,100,America/Los_Angeles
Country Homes,WA,Washington,53063,Spokane,47.7478,-117.4197,5730,1339,America/Los_Angeles
Darrington,WA,Washington,53061,Snohomish,48.2546,-121.6029,1406,306,America/Los_Angeles
Metaline Falls,WA,Washington,53051,Pend Oreille,48.8616,-117.3706,245,446,America/Los_Angeles
Lyle,WA,Washington,53039,Klickitat,45.6956,-121.2805,548,299,America/Los_Angeles
Cascade Valley,WA,Washington,53025,Grant,47.1371,-119.3272,1797,232,America/Los_Angeles
Spangle,WA,Washington,53063,Spokane,47.4299,-117.3812,307,339,America/Los_Angeles
Methow,WA,Washington,53047,Okanogan,48.1289,-120.0056,78,44,America/Los_Angeles
Waterville,WA,Washington,53017,Douglas,47.648,-120.0707,1198,533,America/Los_Angeles
Lake Roesiger,WA,Washington,53061,Snohomish,47.9839,-121.9129,657,64,America/Los_Angeles
